"14491: Kraftpriser i sluttbrukermarkedet, etter kontraktstype, kvartal og statistikkvariabel"

"kontraktstype";"kvartal";"Kraftpris ekskl. avgifter (øre/kWh)";"Kraftpris inkl. mva (øre/kWh)";"Fordeling av kontraktstyper (prosent)"
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2013K3";30.4;.;85.2
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2013K4";34.3;.;85.7
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2014K1";29.2;.;85.2
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2014K2";23.0;.;82.6
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2014K3";29.3;.;85.5
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2014K4";29.9;.;86.3
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2015K1";28.6;.;89.0
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2015K2";22.5;.;88.3
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2015K3";16.5;.;87.1
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2015K4";24.0;.;86.2
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2016K1";26.8;.;88.2
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2016K2";25.3;.;89.0
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2016K3";26.7;.;89.5
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2016K4";35.7;.;90.9
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2017K1";30.7;.;90.4
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2017K2";29.2;.;88.7
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2017K3";29.7;.;88.3
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2017K4";32.8;.;88.3
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2018K1";39.5;.;86.1
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2018K2";41.5;.;87.6
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2018K3";52.7;.;87.2
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2018K4";51.7;.;87.5
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2019K1";51.6;.;90.8
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2019K2";42.3;.;88.9
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2019K3";37.9;.;88.7
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2019K4";43.5;.;87.5
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2020K1";23.0;.;86.6
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2020K2";9.7;.;88.0
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2020K3";9.1;.;89.7
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2020K4";17.8;.;88.7
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2021K1";51.0;.;86.6
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2021K2";47.4;.;87.0
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2021K3";76.1;.;87.0
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2021K4";112.0;.;89.2
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2022K1";116.4;.;91.4
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2022K2";131.2;.;89.3
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2022K3";238.8;.;90.2
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2022K4";165.5;.;93.3
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2023K1";109.1;.;91.8
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2023K2";80.6;.;92.7
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2023K3";34.5;.;91.7
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2023K4";81.7;.;92.8
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2024K1";76.6;.;90.9
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2024K2";51.6;.;92.4
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2024K3";31.7;.;91.7
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2024K4";54.5;.;91.6
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2025K1";67.7;.;90.9
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2025K2";51.6;.;90.0
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2012K1";33.8;.;4.6
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2012K2";27.2;.;5.8
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2012K3";23.1;.;4.0
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2012K4";28.2;.;7.9
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2013K1";35.5;.;4.2
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2013K2";34.7;.;5.2
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2013K3";33.2;.;4.4
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2013K4";36.6;.;5.1
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2014K1";33.5;.;5.7
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2014K2";29.0;.;8.5
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2014K3";31.3;.;4.6
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2014K4";32.3;.;4.5
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2015K1";33.3;.;4.6
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2015K2";27.9;.;4.3
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2015K3";24.2;.;4.8
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2015K4";28.3;.;5.2
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2016K1";31.0;.;4.8
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2016K2";29.1;.;4.1
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2016K3";30.1;.;3.4
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2016K4";35.1;.;3.7
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2017K1";35.2;.;4.7
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2017K2";32.4;.;5.8
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2017K3";32.2;.;4.3
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2017K4";36.4;.;5.8
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2018K1";42.2;.;6.8
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2018K2";44.6;.;4.4
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2018K3";56.4;.;3.9
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2018K4";57.5;.;4.1
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2019K1";56.6;.;4.2
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2019K2";48.7;.;4.0
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2019K3";43.9;.;3.1
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2019K4";46.0;.;6.5
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2020K1";30.5;.;6.1
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2020K2";16.6;.;4.2
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2020K3";16.8;.;4.1
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2020K4";22.0;.;5.1
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2021K1";45.9;.;6.1
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2021K2";44.1;.;4.7
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2021K3";62.5;.;5.1
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2021K4";76.9;.;5.4
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2022K1";98.4;.;4.9
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2022K2";108.5;.;5.5
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2022K3";141.7;.;4.5
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2022K4";172.7;.;2.7
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2023K1";180.0;.;3.2
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2023K2";105.8;.;2.5
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2023K3";64.2;.;1.9
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2023K4";95.2;.;2.4
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2024K1";112.7;.;2.8
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2024K2";71.9;.;2.0
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2024K3";52.6;.;1.6
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2024K4";70.8;.;1.8
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2025K1";95.9;.;1.9
"2.3 Variabel pris kontrakter, tjenesteytende næringer";"2025K2";71.3;.;1.6
"3 Industri unntatt kraftintensiv industri, i alt";"2012K1";31.8;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2012K2";24.8;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2012K3";19.7;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2012K4";30.8;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2013K1";33.8;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2013K2";32.8;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2013K3";30.4;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2013K4";32.2;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2014K1";28.4;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2014K2";23.4;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2014K3";29.2;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2014K4";29.1;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2015K1";28.6;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2015K2";22.2;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2015K3";16.6;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2015K4";23.8;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2016K1";26.4;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2016K2";26.0;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2016K3";26.6;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2016K4";35.0;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2017K1";29.9;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2017K2";29.2;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2017K3";28.9;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2017K4";32.5;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2018K1";38.6;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2018K2";39.9;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2018K3";49.4;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2018K4";49.4;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2019K1";50.3;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2019K2";38.8;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2019K3";36.6;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2019K4";43.1;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2020K1";22.8;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2020K2";10.4;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2020K3";9.9;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2020K4";17.6;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2021K1";49.4;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2021K2";45.3;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2021K3";70.7;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2021K4";103.5;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2022K1";103.8;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2022K2";120.7;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2022K3";216.2;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2022K4";150.7;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2023K1";103.2;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2023K2";76.4;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2023K3";35.8;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2023K4";79.1;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2024K1";73.4;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2024K2";51.0;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2024K3";34.2;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2024K4";51.7;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2025K1";64.2;.;100.0
"3 Industri unntatt kraftintensiv industri, i alt";"2025K2";50.5;.;100.0
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2012K1";35.8;.;12.3
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2012K2";36.7;.;12.1
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2012K3";35.6;.;15.8
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2012K4";35.9;.;16.1
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2013K1";35.8;.;7.9
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2013K2";35.0;.;9.5
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2013K3";34.8;.;10.0
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2013K4";35.3;.;8.5
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2014K1";32.3;.;10.2
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2014K2";30.9;.;11.4
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2014K3";32.5;.;11.5
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2014K4";32.2;.;9.4
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2015K1";31.6;.;8.8
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2015K2";30.4;.;8.6
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2015K3";29.0;.;6.9
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2015K4";29.2;.;7.2
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2016K1";28.9;.;5.2
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2016K2";27.4;.;5.1
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2016K3";28.3;.;4.6
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2016K4";30.5;.;4.4
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2017K1";29.2;.;6.0
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2017K2";29.1;.;6.9
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2017K3";29.3;.;9.9
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2017K4";29.7;.;7.3
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2018K1";29.5;.;5.0
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2018K2";30.8;.;3.8
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2018K3";30.4;.;10.5
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2018K4";32.0;.;5.4
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2019K1";33.8;.;6.5
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2019K2";33.3;.;8.1
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2019K3";33.4;.;8.6
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2019K4";34.6;.;6.6
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2020K1";33.8;.;7.8
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2020K2";27.2;.;5.3
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2020K3";28.5;.;4.7
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2020K4";25.3;.;6.1
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2021K1";34.6;.;3.7
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2021K2";33.5;.;4.0
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2021K3";39.6;.;5.8
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2021K4";38.8;.;4.2
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2022K1";38.1;.;3.3
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2022K2";50.9;.;5.3
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2022K3";44.4;.;4.2
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2022K4";51.7;.;4.7
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2023K1";46.4;.;5.1
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2023K2";41.5;.;6.4
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2023K3";42.3;.;7.2
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2023K4";50.6;.;6.8
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2024K1";56.4;.;11.3
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2024K2";52.4;.;12.9
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2024K3";47.9;.;14.1
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2024K4";51.5;.;9.8
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2025K1";55.2;.;7.1
"3.1 Fastpriskontrakter, industri unntatt kraftintensiv industri";"2025K2";48.4;.;7.0
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2012K1";31.0;.;84.0
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2012K2";22.9;.;84.5
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2012K3";16.4;.;80.8
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2012K4";29.8;.;81.5
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2013K1";33.5;.;89.1
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2013K2";32.5;.;87.4
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2013K3";29.8;.;87.1
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2013K4";31.7;.;88.3
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2014K1";27.7;.;86.4
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2014K2";22.1;.;84.9
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2014K3";28.6;.;86.0
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2014K4";28.7;.;88.4
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2015K1";28.1;.;88.5
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2015K2";21.3;.;89.1
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2015K3";15.6;.;91.1
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2015K4";23.3;.;90.5
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2016K1";26.2;.;92.5
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2016K2";25.9;.;92.9
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2016K3";26.4;.;93.7
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2016K4";35.1;.;93.8
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2017K1";29.7;.;91.0
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2017K2";28.9;.;86.4
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2017K3";28.8;.;87.7
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2017K4";32.6;.;89.9
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2018K1";39.0;.;92.4
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2018K2";40.2;.;93.5
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2018K3";51.6;.;87.1
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2018K4";50.3;.;91.8
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2019K1";51.3;.;90.5
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2019K2";39.0;.;89.6
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2019K3";36.8;.;89.8
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2019K4";43.6;.;90.1
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2020K1";21.6;.;87.0
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2020K2";9.2;.;88.3
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2020K3";8.7;.;89.1
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2020K4";16.9;.;86.9
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2021K1";50.0;.;90.3
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2021K2";46.4;.;85.2
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2021K3";73.8;.;87.0
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2021K4";107.0;.;92.8
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2022K1";106.5;.;93.5
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2022K2";125.6;.;92.3
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2022K3";226.4;.;93.6
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2022K4";155.6;.;93.7
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2023K1";105.5;.;93.6
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2023K2";78.6;.;92.6
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2023K3";35.0;.;92.1
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2023K4";81.2;.;92.2
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2024K1";75.4;.;87.8
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2024K2";50.6;.;86.5
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2024K3";31.9;.;85.5
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2024K4";51.7;.;89.5
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2025K1";64.7;.;92.2
"3.2 Kontrakter tilknyttet elspotprisen, industri unntatt kraftintensiv industri";"2025K2";50.6;.;92.5
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2012K1";37.0;.;3.7
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2012K2";30.0;.;3.4
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2012K3";25.1;.;3.3
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2012K4";30.7;.;2.4
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2013K1";35.4;.;2.9
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2013K2";35.7;.;3.0
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2013K3";34.6;.;2.9
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2013K4";37.0;.;3.2
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2014K1";34.2;.;3.4
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2014K2";30.7;.;3.6
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2014K3";32.6;.;2.6
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2014K4";33.8;.;2.2
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2015K1";33.4;.;2.7
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2015K2";27.7;.;2.4
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2015K3";22.3;.;2.0
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2015K4";27.8;.;2.3
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2016K1";29.9;.;2.2
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2016K2";28.6;.;2.0
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2016K3";29.7;.;1.7
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2016K4";36.3;.;1.8
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2017K1";36.3;.;3.0
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2017K2";32.3;.;6.8
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2017K3";32.2;.;2.4
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2017K4";36.7;.;2.8
"3.3 Variabel pris kontrakter, industri unntatt kraftintensiv industri";"2018K1";42.6;.;2.6
